experiment,pair,cosine,patch,ssim
same_signature,shafiul_cmm vs perturbed_0,0.9905,0.9167,0.9724
same_signature,shafiul_cmm vs perturbed_1,0.9789,0.6458,0.9576
same_signature,shafiul_cmm vs perturbed_2,0.9934,0.9565,0.9477
same_signature,shafiul_cmm vs perturbed_3,0.9910,0.9583,0.9571
same_signature,shafiul_cmm vs perturbed_4,0.9934,0.9362,0.9813
same_signature,shafiul_cmm vs perturbed_5,0.9876,0.9167,0.9447
same_signature,shafiul_cmm vs perturbed_6,0.9802,0.6875,0.9592
same_signature,shafiul_cmm vs perturbed_7,0.9849,0.9149,0.9772
same_signature,shafiul_cmm vs perturbed_8,0.9910,0.8333,0.9816
same_signature,shafiul_cmm vs perturbed_9,0.9772,0.6667,0.9334
same_signature,shafiul_cmm vs perturbed_10,0.9730,0.7917,0.9580
same_signature,shafiul_cmm vs perturbed_11,0.9897,0.9130,0.9843
same_signature,shafiul_cmm vs perturbed_12,0.9726,0.7556,0.9552
same_signature,shafiul_cmm vs perturbed_13,0.9901,0.8750,0.9860
same_signature,shafiul_cmm vs perturbed_14,0.9780,0.7500,0.9397
same_signature,shafiul_cmm vs perturbed_15,0.9778,0.7500,0.9599
same_signature,shafiul_cmm vs perturbed_16,0.9684,0.6458,0.9533
same_signature,shafiul_cmm vs perturbed_17,0.9941,0.9574,0.9802
same_signature,shafiul_cmm vs perturbed_18,0.9819,0.7500,0.9363
same_signature,shafiul_cmm vs perturbed_19,0.9620,0.5833,0.9365
same_signature,shafiul_cmm vs perturbed_20,0.9678,0.6667,0.9523
same_signature,shafiul_cmm vs perturbed_21,0.9412,0.5814,0.9312
same_signature,shafiul_cmm vs perturbed_22,0.9772,0.6667,0.9482
same_signature,shafiul_cmm vs perturbed_23,0.9717,0.6383,0.9518
same_signature,shafiul_cmm vs perturbed_24,0.9884,0.9792,0.9416
same_signature,shafiul_hcd vs perturbed_0,0.9980,1.0000,0.9926
same_signature,shafiul_hcd vs perturbed_1,0.9824,0.7736,0.9717
same_signature,shafiul_hcd vs perturbed_2,0.9900,0.7222,0.9521
same_signature,shafiul_hcd vs perturbed_3,0.9917,0.7222,0.9449
same_signature,shafiul_hcd vs perturbed_4,0.9917,0.9057,0.9812
same_signature,shafiul_hcd vs perturbed_5,0.9943,1.0000,0.9537
same_signature,shafiul_hcd vs perturbed_6,0.9903,0.8148,0.9641
same_signature,shafiul_hcd vs perturbed_7,0.9872,0.6852,0.9648
same_signature,shafiul_hcd vs perturbed_8,0.9742,0.7800,0.9499
same_signature,shafiul_hcd vs perturbed_9,0.9888,0.7222,0.9581
same_signature,shafiul_hcd vs perturbed_10,0.9882,0.9434,0.9673
same_signature,shafiul_hcd vs perturbed_11,0.9798,0.7547,0.9330
same_signature,shafiul_hcd vs perturbed_12,0.9897,0.7222,0.9532
same_signature,shafiul_hcd vs perturbed_13,0.9832,0.9423,0.9432
same_signature,shafiul_hcd vs perturbed_14,0.9741,0.7692,0.9463
same_signature,shafiul_hcd vs perturbed_15,0.9910,0.9630,0.9588
same_signature,shafiul_hcd vs perturbed_16,0.9885,0.9259,0.9696
same_signature,shafiul_hcd vs perturbed_17,0.9546,0.6792,0.9654
same_signature,shafiul_hcd vs perturbed_18,0.9777,0.7885,0.9480
same_signature,shafiul_hcd vs perturbed_19,0.9779,0.8113,0.8947
same_signature,shafiul_hcd vs perturbed_20,0.9752,0.6731,0.9423
same_signature,shafiul_hcd vs perturbed_21,0.9840,0.9216,0.9498
same_signature,shafiul_hcd vs perturbed_22,0.9152,0.5000,0.9265
same_signature,shafiul_hcd vs perturbed_23,0.9887,0.7963,0.9586
same_signature,shafiul_hcd vs perturbed_24,0.9863,0.8302,0.9380
